utc_hour,path_group,split,rain,past_rain_12h,past_rain_24h,last_rain_lag_h,issue_hour,issue_weekday,issue_month,week_block,target_hour_h1,target_weekday_h1,target_month_h1,target_hour_h2,target_weekday_h2,target_month_h2,target_hour_h3,target_weekday_h3,target_month_h3,target_hour_h6,target_weekday_h6,target_month_h6,signed_residual_h1,signed_residual_h2,signed_residual_h3,signed_residual_h6,absolute_residual_h1,absolute_residual_h2,absolute_residual_h3,absolute_residual_h6
2025-04-02 22:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,22,2,4,2025-13,23,2,4,0,3,4,1,3,4,4,3,4,66.37850000000003,-55.99109999999996,-6.88445999999999,-70.59396000000001,66.37850000000003,55.99109999999996,6.88445999999999,70.59396000000001
2025-04-02 23:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,23,2,4,2025-13,0,3,4,1,3,4,2,3,4,5,3,4,-11.922900000000027,24.30444,-78.72739999999999,-61.793175000000005,11.922900000000027,24.30444,78.72739999999999,61.793175000000005
2025-04-03 00:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,0,3,4,2025-13,1,3,4,2,3,4,3,3,4,6,3,4,68.76935000000003,-5.823800000000006,-25.374300000000005,-19.5366,68.76935000000003,5.823800000000006,25.374300000000005,19.5366
2025-04-03 01:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,1,3,4,2025-13,2,3,4,3,3,4,4,3,4,7,3,4,-66.23395000000005,-62.90181999999999,-29.59228999999999,-25.636200000000002,66.23395000000005,62.90181999999999,29.59228999999999,25.636200000000002
2025-04-03 02:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,2,3,4,2025-13,3,3,4,4,3,4,5,3,4,8,3,4,-47.921479999999974,-24.053020000000004,-18.647620000000003,6.870600000000003,47.921479999999974,24.053020000000004,18.647620000000003,6.870600000000003
2025-04-03 03:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,3,3,4,2025-13,4,3,4,5,3,4,6,3,4,9,3,4,3.6984099999999955,1.9273299999999978,-2.109043,26.41583,3.6984099999999955,1.9273299999999978,2.109043,26.41583
2025-04-03 04:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,4,3,4,2025-13,5,3,4,6,3,4,7,3,4,10,3,4,3.2390899999999974,-0.42354199999999764,-17.179312,38.911130000000014,3.2390899999999974,0.42354199999999764,17.179312,38.911130000000014
2025-04-03 05:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,5,3,4,2025-13,6,3,4,7,3,4,8,3,4,11,3,4,0.9086720000000028,-15.33372,14.801803999999997,176.683,0.9086720000000028,15.33372,14.801803999999997,176.683
2025-04-03 06:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,6,3,4,2025-13,7,3,4,8,3,4,9,3,4,12,3,4,-16.530436,4.8951569999999975,36.82561,487.66100000000006,16.530436,4.8951569999999975,36.82561,487.66100000000006
2025-04-03 07:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,7,3,4,2025-13,8,3,4,9,3,4,10,3,4,13,3,4,10.057810000000003,49.865489999999994,132.88074,-80.97199999999998,10.057810000000003,49.865489999999994,132.88074,80.97199999999998
2025-04-03 08:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,8,3,4,2025-13,9,3,4,10,3,4,11,3,4,14,3,4,23.223309999999998,89.18964,111.17334000000005,-230.2581,23.223309999999998,89.18964,111.17334000000005,230.2581
2025-04-03 09:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,9,3,4,2025-13,10,3,4,11,3,4,12,3,4,15,3,4,-69.28485,27.037050000000022,520.9522999999999,-274.1086,69.28485,27.037050000000022,520.9522999999999,274.1086
2025-04-03 10:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,10,3,4,2025-13,11,3,4,12,3,4,13,3,4,16,3,4,10.059099999999944,541.1062999999999,-197.5199,-156.29469999999992,10.059099999999944,541.1062999999999,197.5199,156.29469999999992
2025-04-03 11:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,11,3,4,2025-13,12,3,4,13,3,4,14,3,4,17,3,4,544.9247,-160.12979999999993,-435.7749,29.93769999999995,544.9247,160.12979999999993,435.7749,29.93769999999995
2025-04-03 12:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,12,3,4,2025-13,13,3,4,14,3,4,15,3,4,18,3,4,-196.68730000000005,-344.2617,-119.11440000000005,208.2119,196.68730000000005,344.2617,119.11440000000005,208.2119
