horizon,path_group,outcome,n,mean,median,std
1,long_dry,signed_residual,3074,50.62417145331815,7.321116499999999,187.14109484210252
1,long_dry,absolute_residual,3074,115.35178013418998,57.81385,155.80457929055564
1,recent_rain,signed_residual,133,22.806458744360906,2.1984139999999996,161.87677382468794
1,recent_rain,absolute_residual,133,104.9456624887218,58.48784999999998,125.02454358599971
1,recovery,signed_residual,248,34.385505423387094,16.6287465,160.7912079564993
1,recovery,absolute_residual,248,99.5047033266129,50.53950000000009,130.7657855735536
2,long_dry,signed_residual,3074,53.510454248210806,12.3117105,196.2325349276177
2,long_dry,absolute_residual,3074,129.7825066691607,74.42069500000001,156.59670525866966
2,recent_rain,signed_residual,133,22.868107030075183,4.868839999999977,147.47493244516178
2,recent_rain,absolute_residual,133,98.67272737593984,57.538760000000025,111.64990252300286
2,recovery,signed_residual,248,37.27417646774194,30.415981,196.0640413375142
2,recovery,absolute_residual,248,128.8057186370968,72.37560000000008,152.24327456688874
3,long_dry,signed_residual,3074,60.660634506668835,11.029449999999983,228.85904002202375
3,long_dry,absolute_residual,3074,151.4942989829213,86.93648000000002,181.93234771591924
3,recent_rain,signed_residual,133,17.35803450375939,21.127460000000013,176.3961693931605
3,recent_rain,absolute_residual,133,117.30122790225563,75.97076000000001,132.49669893747807
3,recovery,signed_residual,248,46.90092090725806,15.535974999999993,223.79894505287228
3,recovery,absolute_residual,248,143.6954792379032,84.95898499999996,177.65861185145778
6,long_dry,signed_residual,3074,72.75476396584256,10.210203500000002,234.23439516623387
6,long_dry,absolute_residual,3074,158.1168096333767,87.25105000000005,187.48778333667607
6,recent_rain,signed_residual,133,7.570142714285715,-2.325739999999996,194.59381416885623
6,recent_rain,absolute_residual,133,117.40798525563912,56.981185999999994,155.03364042382907
6,recovery,signed_residual,248,72.29183101612904,11.677866000000002,240.61558557903302
6,recovery,absolute_residual,248,156.05256860483868,72.89149999999995,196.70315272756233
