combo,1h_MAE,2h_MAE,3h_MAE,6h_MAE,Avg_MAE,Avg_RMSE
A3_E1_E4,78.75589958857162,99.89025497836086,118.1687934410952,129.845655873471,106.66515097037468,169.09164212791467
A4_E1_E5,80.40097760758955,104.15670192479752,122.75873426769638,140.5432384416455,111.96491306043224,175.65725121669584
A5_E1_E6,106.17489316887472,121.43171950893262,138.52853245542337,148.85147248816818,128.74665440534972,198.25856439373737
A2_E1_E3,104.62602714959836,143.406624266617,166.74955391342922,179.9292953756025,148.67787517631177,217.28206056478388
A1_E1_E2,105.030236303935,144.06426108769355,168.05074789633622,182.5373574086368,149.9206506741504,218.7610672559484
A0_E1,130.96400935589872,143.02372071846784,165.94195340416113,173.00174088195203,153.23285609011995,224.46299361312165
