objective,selection_score,overall_ratio,shock_ratio,recovery_ratio,rmse_ratio
mae,0.9970649280258088,0.998478978950743,0.9948862671849223,0.9946694783845178,1.0009392502484022
state_huber,0.9983914428283217,0.9996821643541656,0.9985735406678069,0.993721564849875,1.0014677073202045
mse,0.9999999999999999,1.0,1.0,1.0,1.0
huber,1.0003186457749187,1.0001721283691598,1.002743516406568,0.9967100880660149,1.002132912939517
