horizon,state,objective,status,w_E1,w_E2,w_E3,w_E4,w_E5,w_E6
1,global,mse,ok,0.03610548348871228,0.09415005215577008,5.488773498207866e-18,0.2711959884183224,0.4690195529171153,0.12952892302008
1,normal,mse,ok,0.03552151079755318,0.0919961465376074,7.229426204815453e-19,0.2723934041654537,0.4708390203393958,0.12924991815998996
1,shock,mse,ok,0.04021928024055527,0.09971172838005028,0.005533458097599344,0.2651512979066571,0.4625607147402797,0.12682352063485833
1,recovery,mse,ok,0.035206426374011786,0.09527362052663862,0.0010211978431454564,0.2706219866839958,0.46747678542935966,0.1303999831428487
2,global,mse,ok,0.0,1.0299920638612292e-18,0.0,0.4056977377847756,0.25358517949398623,0.34071708272123824
2,normal,mse,ok,4.2521053952165877e-19,0.0,4.0284886971414524e-18,0.4065177287951352,0.25381621768315715,0.33966605352170764
2,shock,mse,ok,0.011471112297852379,0.0071065617937332015,0.0038888282197986107,0.392039204889006,0.25308098671674,0.33241330608286973
2,recovery,mse,ok,0.0,0.002159567452235441,0.0021309602375440316,0.4049485139231473,0.24947931555221523,0.341281642834858
3,global,mse,ok,3.384743657228184e-18,0.00708223156676715,4.570589783384205e-18,0.3306317639482137,0.25112832988891465,0.41115767459610464
3,normal,mse,ok,0.0,0.002474425152151875,1.835308638463255e-18,0.33058590185411785,0.2544376455555486,0.4125020274381816
3,shock,mse,ok,6.98474218441955e-05,0.021882114567769017,0.011730366120075933,0.32214197711484394,0.24646123935084108,0.3977144554246259
3,recovery,mse,ok,0.0,0.009172036981367562,0.0,0.3325602345583803,0.24615161809059008,0.41211611036966217
6,global,mse,ok,0.0,6.667843360785852e-18,0.009936437203465594,0.30675777601783255,0.2750048398930201,0.4083009468856817
6,normal,mse,ok,8.258571235729428e-19,0.0,0.004431613247888563,0.30760749378675106,0.28075813511899156,0.40720275784636883
6,shock,mse,ok,0.013114189000797407,0.01684008886049004,0.02782930453424978,0.2833972538307949,0.24420632187770497,0.414612841895963
6,recovery,mse,ok,0.0,0.00125916634194619,0.010245983614029962,0.3105903702268113,0.2725304783474922,0.40537400146972036
1,global,mae,ok,0.08961826666680459,0.060519130997180044,1.1071052177943807e-18,0.284352446457173,0.4608595344897136,0.10465062138912884
1,normal,mae,ok,0.08976784121121709,0.05667050062531721,0.0,0.2858149413968332,0.4637925716026229,0.10395414516400951
1,shock,mae,ok,0.1017888134533923,0.0682035116488242,0.009419784861083155,0.2762020096615917,0.43913625757546193,0.10524962279964654
1,recovery,mae,ok,0.0856528624622548,0.0621982562045112,0.002206446184835093,0.2831002531292073,0.462187158068618,0.1046550239505737
2,global,mae,ok,2.3741480772122875e-18,1.33335024084412e-18,3.968953636764369e-18,0.3462406962793176,0.2583314684628047,0.39542783525787767
2,normal,mae,ok,5.4019526211143004e-18,0.0,0.0,0.3482507102621677,0.258593813265395,0.39315547647243726
2,shock,mae,ok,0.020428874766997684,0.008237621148149793,0.0018328810214292373,0.3313827743742683,0.25251442248572137,0.3856034262034337
2,recovery,mae,ok,0.004442620929622383,0.0006758899961626043,2.710505431213761e-20,0.3431594964989506,0.25478458283098193,0.39693740974428243
3,global,mae,ok,5.475979254764952e-19,0.004313563857292018,0.0,0.33642018369791576,0.23360124302733642,0.42566500941745583
3,normal,mae,ok,0.0,8.622795403048777e-19,0.0,0.3356444285045178,0.23888542909379495,0.4254701424016873
3,shock,mae,ok,0.003343608345366311,0.02422877013432303,0.017606040903508664,0.3276081562348636,0.21933641627489936,0.40787700810703903
3,recovery,mae,ok,4.70950318673391e-19,0.0050126022172361515,0.0,0.33901455256215796,0.22693138300847449,0.4290414622121314
6,global,mae,ok,2.2381201603666413e-17,9.584261500481867e-21,0.009010036036529645,0.24244458408780153,0.3558409938768946,0.39270438599877416
6,normal,mae,ok,4.884839006815551e-18,0.0,0.0016534479692054962,0.2402026199960594,0.36521469467695017,0.392929237357785
6,shock,mae,ok,0.014919771943929298,0.008033267028000108,0.017120122112158298,0.23040768809630865,0.3244452571872236,0.40507389363238006
6,recovery,mae,ok,3.816652099247818e-20,0.0023304757873912436,0.016317485609360447,0.24802964840236133,0.35052823615333883,0.38279415404754813
1,global,huber,ok,0.08120138147320988,0.05957191865953826,1.5754812818929986e-18,0.2951366309283649,0.4593948426185539,0.10469522632033315
1,normal,huber,ok,0.08112724085046367,0.05924363733564712,1.0503208545953324e-19,0.29534118014596156,0.45963442615413946,0.10465351551378828
1,shock,huber,ok,0.08214839248646127,0.0606876652779535,0.001238879622070643,0.29406818303667276,0.45721011335795747,0.10464676621888423
1,recovery,huber,ok,0.08096188592626481,0.05977464452409705,0.00020858469846037476,0.29493919571332694,0.45945914501931734,0.10465654411853352
2,global,huber,ok,0.0,4.0115480381963664e-18,0.0,0.36935571647589677,0.2505692106066912,0.3800750729174121
2,normal,huber,ok,2.236166980751353e-19,1.3552527156068805e-20,1.0842021724855044e-19,0.36950579231790226,0.2506179132670183,0.3798762944150794
2,shock,huber,ok,0.0028433725370538357,0.0010952965248538285,0.0003243529384122144,0.36717735064563456,0.24991374235789107,0.37864588499615454
2,recovery,huber,ok,0.00032346484216218133,0.0001653182854935156,0.00020480692746047838,0.3689678108837867,0.2500711419030234,0.38026745715807375
3,global,huber,ok,1.3396673093774014e-17,0.006565756950970219,0.0,0.35063874149642227,0.2157162671147534,0.42707923443785417
3,normal,huber,ok,8.004461351553138e-20,0.005774949568746561,3.5067164016328034e-19,0.3506322990747014,0.21633825590062283,0.42725449545592925
3,shock,huber,ok,0.0,0.01032916281827159,0.003300140567552544,0.3490553023418919,0.21342904338345228,0.42388635088883175
3,recovery,huber,ok,4.743384504624082e-20,0.00661571504382924,0.0,0.35089416681153973,0.21508413153888334,0.42740598660574775
6,global,huber,ok,1.4365678785432934e-18,0.0,0.019369620087197927,0.24758384134935277,0.3482929905180807,0.38475354804536854
6,normal,huber,ok,0.0,2.3293406049493262e-20,0.0183024932789544,0.24741917647322262,0.349388587700583,0.38488974254724
6,shock,huber,ok,0.0017225663090851759,0.0016145278968483978,0.02103491990567971,0.245411525877688,0.3437876630144115,0.38642879699628724
6,recovery,huber,ok,0.0,0.0006328829664879955,0.02039153754755783,0.24814414984094008,0.3473758968436007,0.3834555328014134
1,global,state_huber,ok,0.08360785448491552,0.07325739287112033,2.7088113653192525e-18,0.2920491491412502,0.44218902157616585,0.1088965819265482
