split,model,horizon,group,n,MAE,RMSE
screening_dev,state_huber,1,normal,1538,59.6182410834727,97.3559786881059
screening_dev,state_huber,1,shock,158,94.85877356796352,151.91927726198819
screening_dev,state_huber,1,recovery,464,70.92305160342663,107.9419470872701
screening_dev,state_huber,2,overall,2160,78.33798283292732,131.95204932029847
screening_dev,state_huber,2,normal,1538,71.89569760102138,124.45435980581877
screening_dev,state_huber,2,shock,158,120.68982444578685,192.22958752297782
screening_dev,state_huber,2,recovery,464,85.27040462568499,130.8801641994916
screening_dev,state_huber,3,overall,2160,94.39064683695588,162.97078120007637
screening_dev,state_huber,3,normal,1538,88.72434065517731,158.3670934489918
screening_dev,state_huber,3,shock,158,146.09333699320163,232.7621958346368
screening_dev,state_huber,3,recovery,464,95.56684050697446,148.5204011429768
screening_dev,state_huber,6,overall,2160,106.4774136616196,184.25265186663816
screening_dev,state_huber,6,normal,1538,101.67622887506482,182.3313744155795
screening_dev,state_huber,6,shock,158,143.11341663664177,211.26873385983296
screening_dev,state_huber,6,recovery,464,109.91649497986901,180.6792941165863
final_eval,state_huber,1,overall,6599,74.9977122706041,116.6095932377176
final_eval,state_huber,1,normal,3074,65.93525491837447,95.55487771222366
final_eval,state_huber,1,shock,1018,102.28913999875772,167.96333203422648
final_eval,state_huber,1,recovery,2507,75.02775633661668,114.6342138120157
final_eval,state_huber,2,overall,6599,98.58874627479025,157.09098682863967
final_eval,state_huber,2,normal,3074,85.20063864075507,125.65983573344381
final_eval,state_huber,2,shock,1018,137.70143686041533,228.3685543969525
final_eval,state_huber,2,recovery,2507,99.12258107768528,156.26362547166408
final_eval,state_huber,3,overall,6599,117.08657457272912,188.29455955142433
final_eval,state_huber,3,normal,3074,101.67476057246428,154.767602852997
final_eval,state_huber,3,shock,1018,158.69483419825497,256.41326882040215
final_eval,state_huber,3,recovery,2507,119.08845248977292,193.0211563055689
final_eval,state_huber,6,overall,6599,130.4233851127153,204.41928624596028
final_eval,state_huber,6,normal,3074,113.09764285667598,170.65349645221033
final_eval,state_huber,6,shock,1018,171.02727073135082,269.88001540671536
final_eval,state_huber,6,recovery,2507,135.17989733261712,211.44444935423886
