split,model,horizon,group,n,MAE,RMSE
screening_dev,history_only,1,overall,2160,64.85245834164436,104.51594481673615
screening_dev,history_only,1,normal,1538,59.58537143543266,96.82569672239931
screening_dev,history_only,1,shock,158,95.04377637546644,152.12877612367222
screening_dev,history_only,1,recovery,464,72.03037086838943,109.06377813084667
screening_dev,history_only,2,overall,2160,78.82433131027824,132.18796451698734
screening_dev,history_only,2,normal,1538,72.15228352771045,124.14357851218402
screening_dev,history_only,2,shock,158,121.73118791656842,193.286731070151
screening_dev,history_only,2,recovery,464,86.32934455552702,132.4273960156441
screening_dev,history_only,3,overall,2160,94.24517709998054,162.8687393573656
screening_dev,history_only,3,normal,1538,88.45369706887708,157.93383783457418
screening_dev,history_only,3,shock,158,146.86379685470558,234.32542154563635
screening_dev,history_only,3,recovery,464,95.52438909694303,148.6914012921423
screening_dev,history_only,6,overall,2160,105.7009453929384,183.02737052320222
screening_dev,history_only,6,normal,1538,100.84425057135007,180.97347412170035
screening_dev,history_only,6,shock,158,141.19997454732203,208.5070082729847
screening_dev,history_only,6,recovery,464,109.71118252485694,180.49949710904343
final_eval,history_only,1,overall,6599,75.68664301082102,117.1241416970998
final_eval,history_only,1,normal,3074,66.52296019361148,96.30315124056033
final_eval,history_only,1,shock,1018,102.78170071022674,167.6489516335728
final_eval,history_only,1,recovery,2507,75.92054498214418,115.43130689411502
final_eval,history_only,2,overall,6599,97.79014486567397,155.99522438267255
final_eval,history_only,2,normal,3074,84.26004861236228,124.46623670617217
final_eval,history_only,2,shock,1018,137.10722375293952,227.26595923770392
final_eval,history_only,2,recovery,2507,98.41508685827219,155.1945779574311
final_eval,history_only,3,overall,6599,116.65395331270823,187.77012027755765
final_eval,history_only,3,normal,3074,101.20377742137336,154.35567745829024
final_eval,history_only,3,shock,1018,158.3376655486708,255.39303835083004
final_eval,history_only,3,recovery,2507,118.67223078927522,192.6296840134718
final_eval,history_only,6,overall,6599,129.35130088888874,203.43009314895178
final_eval,history_only,6,normal,3074,111.75468179564866,169.73973766223708
final_eval,history_only,6,shock,1018,171.1460302419887,268.9821233586548
final_eval,history_only,6,recovery,2507,133.956395667973,210.2965925147007
